source_url	parsed_url
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/privacy
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/agriculture
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tipsheets/morning-money?tab=most-read
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2022/12/14/powell-shoots-for-2-00073813
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/technology
https://www.politico.com/tipsheets/morning-money	http://api.addthis.com/oexchange/0.8/forward/twitter/offer?pco=tbx32nj-1.0&amp;url=https://politi.co/3j6FFeE&amp;text=The AFL-CIO goes to war with Meta &amp;pubid=politico.com&amp;via=politico
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/favicon-96x96.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/settings
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/finance
https://www.politico.com/tipsheets/morning-money	https://directory.politicopro.com/congress/member/M001156
https://www.politico.com/tipsheets/morning-money	https://subscriber.politicopro.com/article/2022/12/treasury-taps-progressive-strategist-to-drive-ira-implementation-00074240?source=email
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2022/12/16/the-afl-cio-goes-to-war-with-meta-00074263
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/cybersecurity
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/series/states/the-fifty
https://www.politico.com/tipsheets/morning-money	https://www.bloomberg.com/news/articles/2022-12-15/citi-s-employees-can-work-from-anywhere-for-last-two-weeks-of-year?srnd=premium&amp;sref=17aozLHf
https://www.politico.com/tipsheets/morning-money	https://www.politico.com//_logout?base=https%3A%2F%2Fwww.politico.com&amp;redirect=%2F_logout&amp;js=false
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/minutes/congress/
https://www.politico.com/tipsheets/morning-money	https://subscriber.politicopro.com/f/?id=00000185-16fe-de47-a3e7-76fe1ca20001
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2022/12/15/desantis-trump-gop-same-sex-marriage-covid-00074027
https://1.1.1.1/	https://1.1.1.1/#a
https://1.1.1.1/	https://blog.cloudflare.com/warp-for-desktop
https://1.1.1.1/	https://1.1.1.1/#b
